address,max_floor_lvl,year_completed,residential,commercial,market_hawker,multistorey_carpark,precinct_pavilion,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,postal,Latitude,Longitude,planning_area,Mall_Nearest_Distance,Mall_Within_500m,Mall_Within_1km,Mall_Within_2km,Hawker_Nearest_Distance,Hawker_Within_500m,Hawker_Within_1km,Hawker_Within_2km,hawker_food_stalls,hawker_market_stalls
"442, ANG MO KIO AVE 10",12,1978,Y,N,N,N,N,215,0,0,187,22,3,2,0,0,0,0,1,0,560442,1.365653269,103.8552322,Ang Mo Kio,857.6998931,,1,4,321.9421839,2,4,9,39,113
"558, ANG MO KIO AVE 10",13,1979,Y,N,N,N,N,190,0,0,164,24,1,1,0,0,0,0,0,0,560558,1.371236133,103.859192,Ang Mo Kio,935.4849201,,1,3,446.5012475,1,2,7,39,113
"212, ANG MO KIO AVE 3",10,1976,Y,N,N,N,N,214,0,0,193,18,1,1,0,0,0,0,1,0,560212,1.368803594,103.8416181,Ang Mo Kio,595.7970646,,2,2,252.309953,2,5,11,29,0
"152, ANG MO KIO AVE 5",12,1980,Y,N,N,N,N,130,0,0,105,22,1,1,0,0,0,0,1,0,560152,1.376687626,103.8401595,Ang Mo Kio,833.4800784,,1,2,252.4531195,2,3,8,40,84
"331, ANG MO KIO AVE 1",12,1979,Y,N,N,N,N,196,0,0,172,22,2,0,0,0,0,0,0,0,560331,1.362111407,103.8507665,Ang Mo Kio,844.0833174,,1,4,354.8829543,1,3,11,32,86
"121, ANG MO KIO AVE 3",11,1978,Y,N,N,N,N,217,0,0,194,20,2,1,0,0,0,0,0,0,560121,1.369705635,103.843516,Ang Mo Kio,368.3244491,1,2,2,420.3054695,2,5,10,45,78
"130, ANG MO KIO AVE 3",13,1978,Y,Y,N,N,N,190,0,0,164,24,1,1,0,0,0,0,0,0,560130,1.370397917,103.8418788,Ang Mo Kio,486.4426645,1,2,2,407.8509641,2,5,10,29,0
"646, ANG MO KIO AVE 6",13,1980,Y,N,N,N,N,192,0,0,144,48,0,0,0,0,0,0,0,0,560646,1.379395177,103.8437636,Ang Mo Kio,860.6434212,,1,2,363.3189452,1,3,9,52,166
"424, ANG MO KIO AVE 3",12,1978,Y,N,N,N,N,175,0,0,152,22,1,0,0,0,0,0,0,0,560424,1.368606603,103.8508088,Ang Mo Kio,273.4447805,1,2,3,563.3689081,,5,11,32,86
"584, ANG MO KIO AVE 3",12,1978,Y,N,N,N,N,152,0,0,128,22,1,1,0,0,0,0,0,0,560584,1.37071308,103.8534978,Ang Mo Kio,577.5036256,,2,3,244.7463145,2,5,11,50,100
"412, ANG MO KIO AVE 10",12,1978,Y,N,N,N,N,88,0,0,0,88,0,0,0,0,0,0,0,0,560412,1.363855122,103.855288,Ang Mo Kio,974.0797957,,1,4,124.8023648,1,4,9,40,148
"612, ANG MO KIO AVE 4",11,1979,Y,N,N,N,N,240,0,0,0,240,0,0,0,0,0,0,0,0,560612,1.378907914,103.8386027,Ang Mo Kio,1125.677087,,,2,307.9601354,2,2,8,52,166
"562, ANG MO KIO AVE 3",13,1979,Y,Y,N,N,N,96,0,0,0,96,0,0,0,0,0,0,0,0,560562,1.370181442,103.8590188,Ang Mo Kio,870.350702,,1,3,354.6722832,1,3,7,39,113
"223, ANG MO KIO AVE 1",12,1976,Y,N,N,N,N,153,0,0,130,22,1,0,0,0,0,0,0,0,560223,1.366048084,103.8381227,Ang Mo Kio,1089.655541,,,3,154.8921639,2,3,10,10,101
"150, ANG MO KIO AVE 5",12,1980,Y,N,N,N,N,128,0,0,102,22,2,2,0,0,0,0,0,0,560150,1.376806785,103.842018,Ang Mo Kio,695.5748295,,1,2,393.7637738,2,3,9,40,84
"468, ANG MO KIO AVE 10",4,1979,Y,N,N,N,N,56,0,0,48,8,0,0,0,0,0,0,0,0,560468,1.364876746,103.8562873,Ang Mo Kio,974.7887542,,1,4,258.0779363,2,4,9,40,148
"177, ANG MO KIO AVE 4",12,1980,Y,N,N,N,N,154,0,0,0,154,0,0,0,0,0,0,0,0,560177,1.375838271,103.8381231,Ang Mo Kio,974.4075372,,1,2,184.9959579,1,4,8,40,84
"415, ANG MO KIO AVE 10",12,1978,Y,N,N,N,N,176,0,0,0,176,0,0,0,0,0,0,0,0,561415,1.364371901,103.8544744,Ang Mo Kio,867.8239236,,1,4,207.4963123,2,4,9,40,148
"254, ANG MO KIO AVE 4",12,1976,Y,N,N,N,N,110,0,0,0,110,0,0,0,0,0,0,0,0,560254,1.37020344,103.8346877,Ang Mo Kio,1270.53995,,,3,616.6046495,,4,7,10,101
"207, ANG MO KIO AVE 1",11,1975,Y,N,N,N,N,100,0,0,0,100,0,0,0,0,0,0,0,0,560207,1.365820895,103.8428478,Ang Mo Kio,740.4582651,,2,4,360.619028,2,4,11,29,0
"432, ANG MO KIO AVE 10",12,1978,Y,N,N,N,N,110,0,0,88,22,0,0,0,0,0,0,0,0,560432,1.36830997,103.8536003,Ang Mo Kio,582.4078966,,2,3,315.7703996,2,5,11,39,113
"117, ANG MO KIO AVE 4",12,1977,Y,N,N,N,N,153,0,0,119,33,1,0,0,0,0,0,0,0,560117,1.373717083,103.8356105,Ang Mo Kio,1169.994252,,,2,415.6592433,1,5,7,40,84
"428, ANG MO KIO AVE 3",12,1978,Y,N,N,N,N,132,0,0,0,132,0,0,0,0,0,0,0,0,560428,1.368939065,103.8544123,Ang Mo Kio,662.2891261,,2,3,236.221166,2,5,11,39,113
"573, ANG MO KIO AVE 3",13,1978,Y,N,N,N,N,120,0,0,0,120,0,0,0,0,0,0,0,0,560573,1.37056144,103.8548231,Ang Mo Kio,717.9304412,,2,3,241.2461193,2,4,11,50,100
"418, ANG MO KIO AVE 10",14,1978,Y,N,N,N,N,201,0,0,168,26,1,6,0,0,0,0,0,0,560418,1.364946014,103.8540434,Ang Mo Kio,790.5650447,,1,4,286.4857435,2,4,10,40,148
"324, ANG MO KIO AVE 3",12,1978,Y,N,N,N,N,110,0,0,0,110,0,0,0,0,0,0,0,0,560324,1.368333922,103.8468792,Ang Mo Kio,212.7784916,2,2,2,412.0086022,2,5,9,45,78
"596B, ANG MO KIO ST 52",28,2000,Y,N,N,N,N,135,0,0,0,81,54,0,0,0,0,0,0,0,562596,1.372051233,103.8505458,Ang Mo Kio,373.6284759,1,2,3,440.1582568,2,4,10,50,100
"234, ANG MO KIO AVE 3",12,1976,Y,N,N,N,N,88,0,0,0,55,33,0,0,0,0,0,0,0,560234,1.367182877,103.83664,Ang Mo Kio,1164.15763,,,3,284.6839351,2,3,8,10,101
"648, ANG MO KIO AVE 5",13,1980,Y,N,N,N,N,120,0,0,0,24,96,0,0,0,0,0,0,0,560648,1.378238594,103.8437197,Ang Mo Kio,740.6334003,,1,2,425.3860641,1,3,9,52,166
"253A, ANG MO KIO ST 21",8,1994,Y,N,N,N,N,49,0,0,0,0,49,0,0,0,0,0,0,0,561253,1.369946401,103.8342845,Ang Mo Kio,1319.357141,,,3,638.3689619,,4,7,10,101
"439, ANG MO KIO AVE 10",25,1978,Y,N,N,N,N,96,0,0,0,0,96,0,0,0,0,0,0,0,560439,1.366291979,103.8534963,Ang Mo Kio,655.1237296,,1,4,395.5394923,2,4,10,39,113
"306, ANG MO KIO AVE 1",16,1976,Y,N,N,N,N,90,0,0,0,12,78,0,0,0,0,0,0,0,560306,1.365725522,103.8457506,Ang Mo Kio,506.2072623,,2,3,333.6913183,1,4,10,32,86
"729, ANG MO KIO AVE 6",19,1979,Y,Y,N,N,N,72,0,0,0,0,72,0,0,0,0,0,0,0,560729,1.37386614,103.8459358,Ang Mo Kio,213.4156595,1,2,2,211.3468829,1,5,10,45,78
"315B, ANG MO KIO ST 31",28,2004,Y,N,N,N,N,135,0,0,0,54,81,0,0,0,0,0,0,0,563315,1.364027573,103.8474787,Ang Mo Kio,603.2046787,,2,4,94.9413004,1,5,10,32,86
"700C, ANG MO KIO AVE 6",25,2000,Y,N,N,N,N,120,0,0,0,24,96,0,0,0,0,0,0,0,563700,1.369441594,103.8464882,Ang Mo Kio,221.5163773,2,2,2,287.3233507,1,6,10,45,78
"620, BEDOK RESERVOIR RD",11,1980,Y,N,N,N,N,278,0,93,177,1,1,0,0,0,0,6,0,0,470620,1.334334322,103.9177126,Bedok,1609.352641,,,4,417.8373911,1,2,5,36,75
"38, BEDOK STH RD",12,1977,Y,N,N,N,N,176,0,38,0,0,0,0,0,0,0,138,0,0,460038,1.320825609,103.9389946,Bedok,857.0163577,,1,5,384.817504,2,3,8,64,154
"504, BEDOK NTH ST 3",14,1977,Y,N,N,N,N,232,0,0,230,0,2,0,0,0,0,0,0,0,461504,1.332052748,103.9319593,Bedok,713.2818526,,4,5,198.433334,1,5,8,42,83
"545, BEDOK NTH ST 3",12,1979,Y,N,N,N,N,218,0,0,194,22,2,0,0,0,0,0,0,0,460545,1.330051424,103.924118,Bedok,753.8506044,,3,4,236.2493036,1,3,8,42,134
"546, BEDOK NTH ST 3",13,1979,Y,N,N,N,N,143,0,0,118,24,1,0,0,0,0,0,0,0,460546,1.330820059,103.9255958,Bedok,690.5567145,,3,4,171.796523,1,4,8,42,134
"18, BEDOK STH RD",14,1975,Y,Y,N,N,N,267,0,0,264,0,3,0,0,0,0,0,0,0,469276,1.317840249,103.9293968,Bedok,755.0859738,,4,4,747.6007368,,2,8,64,154
"550, BEDOK NTH AVE 1",12,1979,Y,N,N,N,N,238,0,0,212,22,2,2,0,0,0,0,0,0,460550,1.33269318,103.9266174,Bedok,805.9722187,,3,4,221.027242,2,4,8,42,134
"502, BEDOK NTH ST 3",14,1977,Y,N,N,N,N,234,0,0,234,0,0,0,0,0,0,0,0,0,460502,1.331245062,103.9312443,Bedok,602.3939523,,4,5,236.6049548,1,5,8,42,83
"509, BEDOK NTH ST 3",4,1979,Y,Y,N,N,N,62,0,0,54,8,0,0,0,0,0,0,0,0,461509,1.332873992,103.9310485,Bedok,771.1367374,,4,5,62.79335891,1,5,8,42,83
"525, BEDOK NTH ST 3",13,1978,Y,N,N,N,N,332,0,0,304,24,2,2,0,0,0,0,0,0,460525,1.334601139,103.9294453,Bedok,945.3536386,,2,5,198.6913006,1,3,8,42,83
"534, BEDOK NTH ST 3",13,1980,Y,N,N,N,N,352,0,113,228,3,5,0,0,0,0,3,0,0,460534,1.333036982,103.9248122,Bedok,938.5080389,,2,4,104.1014954,1,2,8,42,134
"542, BEDOK NTH ST 3",11,1980,Y,N,N,N,N,198,0,0,176,20,2,0,0,0,0,0,0,0,460542,1.330665909,103.922844,Bedok,908.9746896,,3,4,262.245895,1,3,7,42,134
"76, BEDOK NTH RD",14,1977,Y,Y,N,N,N,207,0,0,206,0,1,0,0,0,0,0,0,0,460076,1.328296665,103.9420675,Bedok,599.6951906,,1,6,406.417056,1,3,9,48,147
"709, BEDOK RESERVOIR RD",10,1980,Y,N,N,N,N,233,0,0,196,36,1,0,0,0,0,0,0,0,470709,1.335416066,103.9223501,Bedok,1312.881221,,,4,451.7250487,1,3,6,42,134
"703, BEDOK RESERVOIR RD",11,1980,Y,Y,N,N,N,158,0,0,136,20,1,1,0,0,0,0,0,0,470703,1.337165074,103.9198931,Bedok,1636.396891,,,4,776.1031716,,2,5,42,134
"27, NEW UPP CHANGI RD",14,1976,Y,N,N,N,N,232,0,0,230,0,2,0,0,0,0,0,0,0,462027,1.324124329,103.934921,Bedok,292.0894153,1,4,5,377.3823791,3,5,8,82,114
"42, CHAI CHEE ST",13,1979,Y,Y,N,N,N,212,0,0,184,24,1,3,0,0,0,0,0,0,461042,1.327978774,103.9258048,Bedok,473.4572421,2,4,4,471.4050658,1,4,8,42,134
"426, BEDOK NTH RD",12,1978,Y,Y,N,N,N,153,0,0,129,22,1,0,0,0,0,0,1,0,460426,1.329800633,103.9289857,Bedok,420.0574482,2,4,5,431.7759678,1,4,8,42,83
"530, BEDOK NTH ST 3",13,1979,Y,Y,N,N,N,260,0,0,232,24,2,2,0,0,0,0,0,0,460530,1.33371332,103.9270203,Bedok,894.5137542,,2,4,311.9501149,2,2,8,42,134
"420, BEDOK NTH ST 1",12,1978,Y,Y,N,N,N,263,0,0,240,22,1,0,0,0,0,0,0,0,460420,1.327744679,103.9288744,Bedok,203.9263878,3,4,5,387.9445625,2,4,8,70,0
"105, BEDOK NTH AVE 4",14,1976,Y,Y,N,N,N,155,0,0,128,26,0,1,0,0,0,0,0,0,460105,1.333722809,103.9365177,Bedok,1088.515931,,,5,314.6719307,1,3,8,72,170
"519, BEDOK NTH AVE 1",12,1978,Y,N,N,N,N,195,0,0,170,22,0,3,0,0,0,0,0,0,460519,1.330876141,103.9280599,Bedok,560.3192342,,4,4,395.4826238,2,4,8,42,134
"548, BEDOK NTH AVE 1",12,1979,Y,N,N,N,N,154,0,0,131,22,0,0,0,0,0,0,1,0,460548,1.331310218,103.9268539,Bedok,656.9743633,,4,4,252.9466939,2,4,8,42,134
"537, BEDOK NTH ST 3",4,1979,Y,Y,N,N,N,82,0,0,82,0,0,0,0,0,0,0,0,0,460537,1.331773008,103.9242365,Bedok,870.0108006,,3,4,64.90395029,1,2,8,42,134
"28, NEW UPP CHANGI RD",14,1976,Y,N,N,N,N,231,0,0,228,0,3,0,0,0,0,0,0,0,460028,1.32369452,103.9349949,Bedok,315.2762375,1,4,5,352.0034024,2,4,8,64,154
"100, BEDOK NTH AVE 4",14,1978,Y,N,N,N,N,206,0,0,178,26,1,1,0,0,0,0,0,0,460100,1.334355934,103.9390327,Bedok,847.2577613,,1,6,255.0569804,1,2,8,72,170
"103, BEDOK RESERVOIR RD",12,1985,Y,Y,N,N,N,154,0,0,88,66,0,0,0,0,0,0,0,0,470103,1.328770222,103.9093814,Bedok,1960.411904,,,1,710.7470866,,1,4,36,75
"522, BEDOK NTH AVE 1",12,1978,Y,N,N,N,N,153,0,0,130,22,1,0,0,0,0,0,0,0,460522,1.330663029,103.9269804,Bedok,587.466847,,4,4,297.4646197,1,4,8,42,134
"551, BEDOK NTH AVE 1",4,1979,Y,Y,N,N,N,20,0,0,20,0,0,0,0,0,0,0,0,0,461551,1.332339576,103.9267623,Bedok,763.703432,,3,4,228.7365445,2,4,8,42,134
"608, BEDOK RESERVOIR RD",11,1981,Y,N,N,N,N,118,0,0,86,30,1,1,0,0,0,0,0,0,470608,1.331841299,103.9131962,Bedok,1934.997737,,,3,168.8838064,1,1,4,36,75
"135, BEDOK NTH ST 2",12,1977,Y,N,N,N,N,153,0,0,119,33,0,1,0,0,0,0,0,0,460135,1.328735351,103.9365067,Bedok,632.2724804,,4,5,399.4576805,2,6,7,82,114
"40, CHAI CHEE AVE",14,1973,Y,N,N,N,N,128,0,0,126,0,2,0,0,0,0,0,0,0,461040,1.326043353,103.9264885,Bedok,346.7920978,3,4,4,470.6248055,1,4,8,70,0
"57, NEW UPP CHANGI RD",15,1978,Y,Y,N,N,N,238,0,0,238,0,0,0,0,0,0,0,0,0,463057,1.32297631,103.941467,Bedok,1030.786858,,,5,282.6972932,1,2,8,48,147
"401, BEDOK NTH AVE 3",13,1978,Y,N,N,N,N,191,0,0,166,24,0,1,0,0,0,0,0,0,460401,1.330981735,103.9336046,Bedok,696.8003101,,4,5,414.3778379,2,6,7,42,83
"2, BEDOK STH AVE 1",14,1975,Y,N,N,N,N,207,0,0,206,0,1,0,0,0,0,0,0,0,460002,1.321301188,103.9332996,Bedok,400.1843052,1,4,5,263.188928,2,4,8,64,154
"116, BEDOK NTH RD",13,1977,Y,N,N,N,N,214,0,0,176,36,1,1,0,0,0,0,0,0,460116,1.331008235,103.9380668,Bedok,909.2445134,,2,5,142.8576906,1,4,8,72,170
"419, BEDOK NTH ST 1",12,1978,Y,N,N,N,N,306,0,0,282,22,1,1,0,0,0,0,0,0,460419,1.326966214,103.9281358,Bedok,192.1255342,3,4,4,366.9837044,1,4,8,70,0
"107, BEDOK NTH RD",12,1976,Y,Y,N,N,N,154,0,0,132,22,0,0,0,0,0,0,0,0,460107,1.332317407,103.9363013,Bedok,938.5213578,,1,5,280.8941913,1,4,8,72,170
"221B, BEDOK CTRL",17,2008,Y,N,N,N,N,95,0,0,32,63,0,0,0,0,0,0,0,0,462221,1.325000433,103.9344978,Bedok,236.2757344,1,4,5,269.8327685,2,5,8,82,114
"219A, BEDOK CTRL",17,2008,Y,N,N,N,N,94,0,0,47,47,0,0,0,0,0,0,0,0,461219,1.325311121,103.9332781,Bedok,114.378694,4,4,5,200.0211758,2,6,8,82,114
"512, BEDOK NTH AVE 2",11,1978,Y,N,N,N,N,140,0,0,0,140,0,0,0,0,0,0,0,0,460512,1.333367155,103.9291777,Bedok,810.1340393,,3,5,168.0881309,1,4,8,42,83
"131, BEDOK RESERVOIR RD",13,1986,Y,N,N,N,N,96,0,0,0,54,42,0,0,0,0,0,0,0,470131,1.333122056,103.9117112,Bedok,2139.261226,,,,278.2556051,1,1,3,36,75
"147, BEDOK RESERVOIR RD",13,1986,Y,N,N,N,N,120,0,0,0,78,42,0,0,0,0,0,0,0,470147,1.334881942,103.9117789,Bedok,2211.010332,,,,342.4576358,1,1,3,36,75
"117, BEDOK NTH RD",13,1977,Y,Y,N,N,N,211,0,0,170,36,2,3,0,0,0,0,0,0,460117,1.330654548,103.9384963,Bedok,866.3927665,,2,5,159.3349127,1,4,8,72,170
"82, BEDOK NTH RD",14,1977,Y,Y,N,N,N,130,0,0,0,130,0,0,0,0,0,0,0,0,460082,1.329536805,103.9404066,Bedok,690.770646,,1,5,330.6387095,2,3,9,72,170
"121, BEDOK NTH RD",12,1977,Y,N,N,N,N,154,0,0,0,154,0,0,0,0,0,0,0,0,460121,1.329642018,103.9388211,Bedok,854.5471753,,2,5,267.367639,1,4,8,72,170
"536, BEDOK NTH ST 3",17,1979,Y,N,N,N,N,191,0,0,126,64,1,0,0,0,0,0,0,0,460536,1.333541189,103.9231908,Bedok,1093.184724,,,4,233.2107185,1,2,7,42,134
"517, BEDOK NTH AVE 2",12,1978,Y,N,N,N,N,132,0,0,0,132,0,0,0,0,0,0,0,0,460517,1.331089066,103.9292045,Bedok,558.6177898,,4,5,295.8555234,1,4,8,42,83
"34, BEDOK STH AVE 2",16,1977,Y,N,N,N,N,210,0,0,0,210,0,0,0,0,0,0,0,0,460034,1.322056529,103.9383547,Bedok,730.498504,,1,5,353.5927174,2,4,9,64,154
"6, BEDOK STH AVE 2",14,1975,Y,N,N,N,N,104,0,0,0,104,0,0,0,0,0,0,0,0,460006,1.322217108,103.9349912,Bedok,407.2148509,1,4,5,193.3917238,1,4,8,64,154
"37, BEDOK STH AVE 2",16,1977,Y,N,N,N,N,210,0,0,0,210,0,0,0,0,0,0,0,0,460037,1.321906636,103.9398472,Bedok,890.1080156,,1,5,361.9740552,1,3,8,48,147
"35, BEDOK STH AVE 2",16,1977,Y,N,N,N,N,210,0,0,0,210,0,0,0,0,0,0,0,0,460035,1.322332207,103.9397662,Bedok,865.7321481,,1,5,316.2660231,1,3,9,48,147
"724, BEDOK RESERVOIR RD",13,1983,Y,N,N,N,N,120,0,0,0,120,0,0,0,0,0,0,0,0,471724,1.336930405,103.9278963,Bedok,1217.678668,,,4,506.6725315,,2,7,42,83
"523, BEDOK NTH ST 3",13,1978,Y,N,N,N,N,168,0,0,0,168,0,0,0,0,0,0,0,0,460523,1.33435472,103.930612,Bedok,924.7608127,,2,5,115.8198305,1,4,9,42,83
"65, NEW UPP CHANGI RD",16,1977,Y,N,N,N,N,120,0,0,0,120,0,0,0,0,0,0,0,0,460065,1.324678528,103.9397703,Bedok,822.1324482,,1,5,68.79372875,1,4,9,48,147
"132, BEDOK NTH ST 2",16,1977,Y,N,N,N,N,150,0,0,0,150,0,0,0,0,0,0,0,0,460132,1.32775289,103.9367093,Bedok,581.5906553,,4,5,386.2371382,2,6,7,82,114
"62, NEW UPP CHANGI RD",16,1977,Y,N,N,N,N,120,0,0,0,120,0,0,0,0,0,0,0,0,461062,1.323326674,103.9400302,Bedok,866.4211119,,1,5,203.8028615,1,4,9,48,147
"428, BEDOK NTH RD",12,1978,Y,N,N,N,N,154,0,0,0,154,0,0,0,0,0,0,0,0,460428,1.329539942,103.9276501,Bedok,442.6725822,2,4,4,431.7541147,1,4,8,42,134
"772, BEDOK RESERVOIR VIEW",19,1999,Y,N,N,N,N,160,0,0,0,88,72,0,0,0,0,0,0,0,471772,1.336817387,103.937401,Bedok,1126.915974,,,10,548.9963861,,2,9,72,170
"774, BEDOK RESERVOIR VIEW",19,1999,Y,N,N,N,N,164,0,0,0,92,72,0,0,0,0,0,0,0,470774,1.336582219,103.9367073,Bedok,1182.709223,,,10,552.2009078,,2,9,72,170
"768, BEDOK RESERVOIR VIEW",15,1999,Y,N,N,N,N,58,0,0,0,58,0,0,0,0,0,0,0,0,470768,1.335664343,103.9373217,Bedok,1077.686135,,,9,431.697324,1,2,9,72,170
"180, BEDOK NTH RD",20,2004,Y,N,N,N,N,156,0,0,0,136,20,0,0,0,0,0,0,0,460180,1.326713488,103.9408922,Bedok,813.896039,,2,5,189.8139599,1,4,8,48,147
"611, BEDOK RESERVOIR RD",13,1982,Y,N,N,N,N,96,0,0,0,18,78,0,0,0,0,0,0,0,470611,1.33101555,103.9151656,Bedok,1698.014526,,,3,241.9817389,1,1,5,36,75
"602, BEDOK RESERVOIR RD",13,1981,Y,N,N,N,N,120,0,0,0,24,96,0,0,0,0,0,0,0,470602,1.329348987,103.9115832,Bedok,2038.43907,,,,496.4900656,1,1,3,36,75
"101, BEDOK RESERVOIR RD",12,1985,Y,N,N,N,N,110,0,0,0,16,94,0,0,0,0,0,0,0,471101,1.328088579,103.9098776,Bedok,1966.362863,,,1,724.3928617,,1,4,36,75
"506, BEDOK NTH AVE 3",25,1977,Y,N,N,N,N,96,0,0,0,0,96,0,0,0,0,0,0,0,460506,1.332142808,103.9337202,Bedok,814.3688907,,4,5,361.3951645,1,4,8,42,83
"99, BEDOK NTH AVE 4",25,1978,Y,Y,N,N,N,96,0,0,0,0,96,0,0,0,0,0,0,0,460099,1.333932177,103.9394703,Bedok,786.1124019,,1,6,219.5879117,1,3,8,72,170
"553, BEDOK NTH AVE 1",12,1979,Y,N,N,N,N,88,0,0,0,12,76,0,0,0,0,0,0,0,460553,1.331493663,103.9278187,Bedok,633.5608394,,4,4,351.2233735,2,4,8,42,134
"804, CHAI CHEE RD",15,1992,Y,N,N,N,N,80,0,0,0,0,80,0,0,0,0,0,0,0,460804,1.324225073,103.9220219,Bedok,823.1851556,,3,4,921.1192319,,2,6,42,134
